serie,modelo,p,d,q,P,D,Q,AIC,BIC,ljung_box_p,jarque_bera_p
Via_Terrestre,"SARIMA(1,1,2)(1,1,1)[12]",1,1,2,1,1,1,133.58,150.96,0.5822,0.0
Via_Terrestre,"SARIMA(2,1,0)(1,1,1)[12]",2,1,0,1,1,1,133.58,148.07,0.4395,0.0
Via_Terrestre,"SARIMA(0,1,0)(1,1,1)[12]",0,1,0,1,1,1,133.64,142.33,0.1895,0.0
Via_Terrestre,"SARIMA(2,1,2)(0,1,0)[12]",2,1,2,0,1,0,135.95,150.44,0.3755,0.0
Via_Terrestre,"SARIMA(1,1,1)(0,1,0)[12]",1,1,1,0,1,0,136.21,144.9,0.189,0.0
Via_Terrestre,"SARIMA(1,1,2)(0,1,0)[12]",1,1,2,0,1,0,137.61,149.21,0.2506,0.0
Via_Terrestre,"SARIMA(2,1,1)(0,1,0)[12]",2,1,1,0,1,0,137.76,149.35,0.2327,0.0
Via_Terrestre,"SARIMA(1,1,0)(0,1,0)[12]",1,1,0,0,1,0,137.8,143.59,0.293,0.0
Via_Terrestre,"SARIMA(0,1,1)(0,1,0)[12]",0,1,1,0,1,0,137.99,143.78,0.3151,0.0
Via_Terrestre,"SARIMA(2,1,0)(0,1,0)[12]",2,1,0,0,1,0,139.76,148.46,0.2806,0.0
Via_Terrestre,"SARIMA(0,1,2)(0,1,0)[12]",0,1,2,0,1,0,139.92,148.62,0.3013,0.0
Via_Terrestre,"SARIMA(0,1,0)(0,1,0)[12]",0,1,0,0,1,0,140.85,143.75,0.1205,0.0
Via_Marítima,"SARIMA(0,1,1)(1,0,1)[12]",0,1,1,1,0,1,607.97,619.9,0.0,0.0
Via_Marítima,"SARIMA(2,1,1)(1,0,1)[12]",2,1,1,1,0,1,609.68,627.58,0.0,0.0
Via_Marítima,"SARIMA(1,1,1)(1,0,1)[12]",1,1,1,1,0,1,609.94,624.86,0.0,0.0
Via_Marítima,"SARIMA(0,1,2)(1,0,1)[12]",0,1,2,1,0,1,609.95,624.87,0.0,0.0
Via_Marítima,"SARIMA(2,1,2)(1,0,1)[12]",2,1,2,1,0,1,611.67,632.56,0.0,0.0
Via_Marítima,"SARIMA(1,1,2)(1,0,1)[12]",1,1,2,1,0,1,611.76,629.66,0.0,0.0
Via_Marítima,"SARIMA(2,1,0)(1,0,1)[12]",2,1,0,1,0,1,614.14,629.06,0.0,0.0
Via_Marítima,"SARIMA(1,1,0)(1,0,1)[12]",1,1,0,1,0,1,616.82,628.76,0.0,0.0
Via_Marítima,"SARIMA(2,1,1)(1,0,0)[12]",2,1,1,1,0,0,619.83,634.75,0.0,0.0
Via_Marítima,"SARIMA(0,1,1)(1,0,0)[12]",0,1,1,1,0,0,621.3,630.25,0.0,0.0
Via_Marítima,"SARIMA(2,1,1)(0,0,0)[12]",2,1,1,0,0,0,621.52,633.46,0.0,0.0
Via_Marítima,"SARIMA(2,1,1)(0,0,1)[12]",2,1,1,0,0,1,621.73,636.65,0.0,0.0
Via_Marítima,"SARIMA(2,1,2)(1,0,0)[12]",2,1,2,1,0,0,621.83,639.73,0.0,0.0
Via_Marítima,"SARIMA(1,1,1)(1,0,0)[12]",1,1,1,1,0,0,623.12,635.06,0.0,0.0
Via_Marítima,"SARIMA(2,1,2)(0,0,0)[12]",2,1,2,0,0,0,623.15,638.07,0.0,0.0
Via_Marítima,"SARIMA(1,1,1)(0,0,0)[12]",1,1,1,0,0,0,623.2,632.15,0.0,0.0
Via_Marítima,"SARIMA(0,1,2)(1,0,0)[12]",0,1,2,1,0,0,623.27,635.2,0.0,0.0
Via_Marítima,"SARIMA(2,1,2)(0,0,1)[12]",2,1,2,0,0,1,623.63,641.53,0.0,0.0
Via_Marítima,"SARIMA(2,1,0)(1,0,0)[12]",2,1,0,1,0,0,624.15,636.08,0.0,0.0
Via_Marítima,"SARIMA(1,1,2)(1,0,0)[12]",1,1,2,1,0,0,624.74,639.66,0.0,0.0
Via_Marítima,"SARIMA(0,1,1)(0,0,1)[12]",0,1,1,0,0,1,625.32,634.27,0.0,0.0
Via_Marítima,"SARIMA(1,1,0)(1,0,0)[12]",1,1,0,1,0,0,625.67,634.63,0.0,0.0
Via_Marítima,"SARIMA(0,1,1)(0,0,0)[12]",0,1,1,0,0,0,626.23,632.2,0.0,0.0
Via_Marítima,"SARIMA(1,1,1)(0,0,1)[12]",1,1,1,0,0,1,627.27,639.21,0.0,0.0
Via_Marítima,"SARIMA(1,1,0)(0,0,0)[12]",1,1,0,0,0,0,627.28,633.25,0.0,0.0
Via_Marítima,"SARIMA(0,1,2)(0,0,1)[12]",0,1,2,0,0,1,627.32,639.25,0.0,0.0
